"Source:","C:\Users\Cyril\OneDrive - Gymnasium Lerbermatt\MA\SAP-Extended\SAP-Extended\SAP-Extended.kicad_sch"
"Date:","19.07.2023 22:45:41"
"Tool:","Eeschema 7.0.5"
"Generator:","C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","399"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor","DNP"
"C1, C2, C16","3","0.01 uF","C_Small","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","Unpolarized capacitor, small symbol","",""
"C3, C4, C6","3","0.1µF","C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","Unpolarized capacitor","",""
"C5, C7, C8","3","0.01µF","C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","Unpolarized capacitor","",""
"C9","1","1µF","CP1-Device","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","","",""
"C10, C11, C12","3","15 µF/50V","C_Polarized_Small","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","Polarized capacitor, small symbol","",""
"C13","1","0.01 µF","C_Small","Capacitor_SMD:C_1206_3216Metric","Unpolarized capacitor, small symbol","",""
"C14","1","180 µF / 16 V","C_Polarized_Small","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","Polarized capacitor, small symbol","",""
"C15","1","180 µF/ 16V","C_Polarized_Small","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","Polarized capacitor, small symbol","",""
"D1, D2, D3, D4, D5, D6, D7, D8, D49, D82, D90, D91, D92, D93, D94, D95, D96, D97, D98, D99, D100, D101, D102, D103, D104, D105, D106, D107, D108, D109, D110, D111, D112, D113, D114, D115, D116, D117, D118, D119, D120","41","LED","LED","LED_THT:LED_D3.0mm","Light emitting diode","",""
"D9","1","B_0","LED","LED_THT:LED_D3.0mm","Light emitting diode","",""
"D10","1","B_1","LED","LED_THT:LED_D3.0mm","Light emitting diode","",""
"D11","1","B_2","LED","LED_THT:LED_D3.0mm","Light emitting diode","",""
"D12","1","B_3","LED","LED_THT:LED_D3.0mm","Light emitting diode","",""
"D13","1","B_4","LED","LED_THT:LED_D3.0mm","Light emitting diode","",""
"D14","1","B_5","LED","LED_THT:LED_D3.0mm","Light emitting diode","",""
"D15","1","B_6","LED","LED_THT:LED_D3.0mm","Light emitting diode","",""
"D16","1","B_7","LED","LED_THT:LED_D3.0mm","Light emitting diode","",""
"D17","1","A_7","LED","LED_THT:LED_D3.0mm","Light emitting diode","",""
"D18","1","A_6","LED","LED_THT:LED_D3.0mm","Light emitting diode","",""
"D19","1","A_5","LED","LED_THT:LED_D3.0mm","Light emitting diode","",""
"D20","1","A_4","LED","LED_THT:LED_D3.0mm","Light emitting diode","",""
"D21","1","A_3","LED","LED_THT:LED_D3.0mm","Light emitting diode","",""
"D22","1","A_2","LED","LED_THT:LED_D3.0mm","Light emitting diode","",""
"D23","1","A_1","LED","LED_THT:LED_D3.0mm","Light emitting diode","",""
"D24","1","A_0","LED","LED_THT:LED_D3.0mm","Light emitting diode","",""
"D25","1","S_7","LED","LED_THT:LED_D3.0mm","Light emitting diode","",""
"D26","1","S_6","LED","LED_THT:LED_D3.0mm","Light emitting diode","",""
"D27","1","S_5","LED","LED_THT:LED_D3.0mm","Light emitting diode","",""
"D28","1","S_4","LED","LED_THT:LED_D3.0mm","Light emitting diode","",""
"D29","1","S_3","LED","LED_THT:LED_D3.0mm","Light emitting diode","",""
"D30","1","S_2","LED","LED_THT:LED_D3.0mm","Light emitting diode","",""
"D31","1","S_1","LED","LED_THT:LED_D3.0mm","Light emitting diode","",""
"D32","1","S_0","LED","LED_THT:LED_D3.0mm","Light emitting diode","",""
"D33","1","O_7","LED","LED_THT:LED_D3.0mm","Light emitting diode","",""
"D34","1","O_6","LED","LED_THT:LED_D3.0mm","Light emitting diode","",""
"D35","1","O_5","LED","LED_THT:LED_D3.0mm","Light emitting diode","",""
"D36","1","O_4","LED","LED_THT:LED_D3.0mm","Light emitting diode","",""
"D37","1","O_3","LED","LED_THT:LED_D3.0mm","Light emitting diode","",""
"D38","1","O_2","LED","LED_THT:LED_D3.0mm","Light emitting diode","",""
"D39","1","O_1","LED","LED_THT:LED_D3.0mm","Light emitting diode","",""
"D40","1","O_0","LED","LED_THT:LED_D3.0mm","Light emitting diode","",""
"D41","1","C_7","LED","LED_THT:LED_D3.0mm","Light emitting diode","",""
"D42","1","C_6","LED","LED_THT:LED_D3.0mm","Light emitting diode","",""
"D43","1","C_5","LED","LED_THT:LED_D3.0mm","Light emitting diode","",""
"D44","1","C_4","LED","LED_THT:LED_D3.0mm","Light emitting diode","",""
"D45","1","C_3","LED","LED_THT:LED_D3.0mm","Light emitting diode","",""
"D46","1","C_2","LED","LED_THT:LED_D3.0mm","Light emitting diode","",""
"D47","1","C_1","LED","LED_THT:LED_D3.0mm","Light emitting diode","",""
"D48","1","C_0","LED","LED_THT:LED_D3.0mm","Light emitting diode","",""
"D50","1","M_7","LED","LED_THT:LED_D3.0mm","Light emitting diode","",""
"D51","1","M_6","LED","LED_THT:LED_D3.0mm","Light emitting diode","",""
